id,site_type_id,site_name,addition,address,prefecture,access,phone_number,url,price,image_path,latitude,longitude
0,1,オーパークおごせ BIO-RESORT HOTEL & SPA OPark OGOSE,都心から2時間の好アクセス！広大な森林の中の複合リゾート施設,〒350-0415 埼玉県入間郡越生町上野3083-1,埼玉,,049-292-7889,,,,0,0
1,1,スプラッシュガーデン秩父,都心からのアクセス良好！設備の充実したキャンプ場,〒368-0061 埼玉県秩父市小柱326-2,埼玉,,0494-62-3399,,,,0,0
2,1,ときたまひみつきち COMORIVER（コモリバ）,グランピングやキャビン、BBQ、キャンプ場、カフェを併設した複合レジャー施設,〒355-0353 埼玉県比企郡ときがわ町本郷930番地1ときたまひみつきち COMORIVER（コモリバ）,埼玉,,0493-81-5477,,,,0,0
3,1,リバーサイド長瀞オートキャンプ場,女子キャンパーやファミリーにおすすめのキャンプ場,〒369-1312 埼玉県秩父郡長瀞町大字井戸559-1,埼玉,,0494-66-0640,,,,0,0
4,1,月川荘キャンプ場,ソロキャンプの聖地！森と川に囲まれた自然豊かなキャンプ場,〒355-0225 埼玉県比企郡嵐山町鎌形2604,埼玉,,0493-62-2250,,,,0,0
5,1,ウッドルーフ奥秩父オートキャンプ場,都会の喧騒を忘れて寛ぐキャンプ場,〒369-1901 埼玉県埼玉県秩父市大滝4066-2,埼玉,,,,,,0,0
6,1,白岩渓流園キャンプ場,川のせせらぎと森の香りに囲まれて過ごせるキャンプ場,〒357-0111 埼玉県飯能市上名栗2305,埼玉,,042-979-0755,,,,0,0
7,1,将門の滝 オートキャンプ場,川遊びに囲炉裏でＢＢＱ、荒川沿いで自然を満喫できるキャンプ場,〒369-1804 埼玉県秩父市荒川小野原178,埼玉,,0494-54-1234,,,,0,0
8,1,智光山公園野外活動広場（キャンプ場）,アクセスも良く、近くにスーパーもあるので買物も便利！こども動物園もあるキャンプ場,〒350-1335 埼玉県狭山市柏原612-1,埼玉,,04-2953-5301,,,,0,0
9,1,ケニーズ・ファミリー・ビレッジ/オートキャンプ場,都心から1時間というアクセスの良さ！楽しいイベント大充実の埼玉のキャンプ場,〒357-0111 埼玉県飯能市上名栗3196,埼玉,,042-979-0300,,,,0,0
10,1,城峯公園キャンプ場,都心から約90分、雄大な自然に囲まれた森の中のキャンプ場,〒367-0313 埼玉県児玉郡神川町矢納1277-3,埼玉,,080-2220-2444,,,,0,0
11,1,秩父巴川オートキャンプ場,川遊びや魚釣りや珍しい化石掘りもできる！ファミリー向けオートキャンプ場,〒369-1871 埼玉県秩父市下影森2222-4,埼玉,,0494-26-5773,,,,0,0
12,1,毛呂山町ゆずの里オートキャンプ場,都心からわずか1時間。静かで里山の雰囲気を楽しめる施設充実のキャンプ場,〒350-0456 埼玉県入間郡毛呂山町滝ノ入585,埼玉,,049-294-8812,,,,0,0
13,1,ウォーターパーク長瀞,手ぶらでレッツゴー！忙しい方・初心者にもぴったり！手軽に荒川を満喫できるキャンプ場！,〒369-1621 埼玉県秩父郡皆野町金崎1918-1,埼玉,,0494-62-5726,,,,0,0
14,1,長瀞キャンプヴィレッジ,四季折々の自然が楽しめる長瀞のキャンプ場,〒369-1311 埼玉県秩父郡長瀞町岩田483,埼玉,,0494-66-3817,,,,0,0
15,1,ニューサンピア埼玉おこぜ,首都圏で新たなブームを！お一人でも安心オートキャンプ場,〒350-0401 埼玉県入間郡越生町古池700,埼玉,,049-292-6111,,,,0,0
16,1,せせらぎキャンプ場,ファミリーキャンパーにおすすめ！バンガローとテントサイトがある飯能のキャンプ場,〒357-0111 埼玉県飯能市上名栗975,埼玉,,080-5178-0994,,,,0,0
17,1,リバーパーク上長瀞オートキャンプ場,最寄り駅より徒歩3分。レンタル用品充実。思い立ったら手ぶらで行けるキャンプ場,〒369-1305 埼玉県秩父郡長瀞町長瀞1429,埼玉,,0494-66-0456,,,,0,0
18,1,ノーラ名栗,飯能に突如出現！フィンランドを満喫できるグランピング場,〒357-0112 埼玉県飯能市下名栗607-1,埼玉,,042-978-5522,,,,0,0
19,1,フォレストサンズ長瀞,トレーラーハウスやバーベキューなど、アメリカンな魅力を満喫できるキャンプ場,〒369-1304 埼玉県秩父郡長瀞町本野上363,埼玉,,0494-26-6111,,,,0,0
20,1,cazuキャンプ場,清流名栗川での川遊びや釣り、焚き火などが楽しめるキャンプ場,〒357-0128 埼玉県飯能市赤沢1072,埼玉,,042-978-8560,,,,0,0
21,1,巾着田キャンプ場,曼珠沙華群生地の有名な観光スポットとしても知られている、無料キャンプ場,〒350-1251 埼玉県日高市高麗本郷125-2,埼玉,,042-982-0268,,,,0,0
22,1,満願ビレッジオートキャンプ場,秩父の自然と温泉、川遊びを堪能できる高規格なキャンプ場,〒369-1625 埼玉県秩父郡皆野町下日野沢3902-1,埼玉,,0494-62-4726,,,,0,0
23,1,喜多川キャンピングベース,都内から電車で行ける。地形を活かし、地元の木材を使った高規格なキャンプ場,〒357-0201 埼玉県飯能市北川318－1,埼玉,,042-978-5511,,,,0,0
24,1,【2022年5月頃～オープン予定】スカイパーク毛呂山キャンプ場,パラグライダーができる！ファミリーとソロ限定のキャンプ場,〒350-0456 埼玉県入間郡毛呂山町滝ノ入1149,埼玉,,090-1763-9839,,,,0,0
25,1,レストハウス名栗,入間川の迫力を楽しめる、壮大なキャンプ場,〒357-0112 埼玉県飯能市下名栗777-1,埼玉,,042-978-9492,,,,0,0
26,1,奥秩父 神庭オートキャンプ場,川遊びとアスレチックと自然が楽しめる穴場のキャンプ場,〒369-1901 埼玉県秩父市大滝4273-1,埼玉,,0494-55-0137,,,,0,0
27,1,橋立川キャンプ場,「東京から電車で行けるソロキャンプの聖地」と呼びたい魅力たっぷりのキャンプ場,〒369-1801 埼玉県秩父市荒川久那3937,埼玉,,0494-24-1367,,,,0,0
28,1,秩父彩の国キャンプ村,森の中の静かなキャンプ場なので、ソロキャンプに最適のロケーションのキャンプ場,〒369-1873 埼玉県秩父市浦山3236-10,埼玉,,0494-25-3148,,,,0,0
29,1,武甲オートキャンプ場,都心から90分と好アクセス。ペットも一緒にアウトドアライフを楽しめるキャンプ場,〒368-0072 埼玉県秩父郡横瀬町横瀬4606-3,埼玉,,0494-23-8229,,,,0,0
30,1,【H28/閉鎖】埼玉県青少年総合野外活動センター,野鳥などがいる雄大な自然の中で過ごすことができるキャンプ場,〒368-0004 埼玉県秩父市山田4386,埼玉,,0494-24-1463,,,,0,0
31,1,かわせみ河原,都心からのアクセス良好！設備の充実したキャンプ場,〒369-1217 埼玉県大里郡寄居町大字小園12,埼玉,,,,,,0,0
32,1,山逢の里キャンプ場,川沿いすぐ！無料でお風呂に入れるキャンプ場,〒369-1505 埼玉県秩父市上吉田1211,埼玉,,0494-78-0002,,,,0,0
33,1,大鳩園キャンプ場,場内は川遊びに最適なロケーション。豊かな自然と渓流に囲まれたキャンプ場,〒357-0111 埼玉県飯能市上名栗2325-5,埼玉,,042-979-0041,,,,0,0
34,1,みどりの村キャンプ場,都心からのアクセス良好！設備の充実したキャンプ場,〒368-0111 埼玉県秩父郡小鹿野町飯田853,埼玉,,0494-75-3441,,,,0,0
35,1,ネイチャーランド浦山,自然が楽しめ、レンタル品が充実しているので手ぶらで行けるデイキャンプ場,〒369-1873 埼玉県秩父市浦山3358-1,埼玉,,0494-26-6328,,,,0,0
36,1,城峯山キャンプ場,雄大な自然の中でアウトドアライフを満喫。冬桜で有名な城峯公園内にあるキャンプ場,〒369-1504 埼玉県秩父市吉田石間4713,埼玉,,080-2220-2444,,,,0,0
37,1,吉田元気村,都心からのアクセス良好！設備の充実したキャンプ場,〒369-1505 埼玉県秩父市上吉田4942-1,埼玉,,0494-78-1000,,,,0,0
38,1,木のむらキャンプ場,都心から90分で行けるアクセスの良さ！埼玉で自然に出会えるキャンプ場,〒355-0366 埼玉県比企郡ときがわ町大野1440,埼玉,,0493-67-0850,,,,0,0
39,1,堂平天文台「星と緑の創造センター」,国立天文台の旧観測所があり、夜景がきれいな珍しいキャンプ場,〒355-0366 埼玉県比企郡ときがわ町大字大野1853番地,埼玉,,080-2373-8682,,,,0,0
40,1,ゆうパークおごせ キャンプ場,サウナ付きのキャビンや空中に浮いたテント！レアな宿泊施設に泊まれるキャンプ場,〒350-0415 埼玉県入間郡越生町上野3083-1,埼玉,,049-292-7889,,,,0,0
41,1,かんなの湯 ロハスガルテンキャンプ場,手ぶらプランが充実した初心者も手軽に楽しめるキャンプ場,〒367-0236 埼玉県児玉郡神川町小浜1341,埼玉,,0495-71-9005,,,,0,0
42,1,入川渓谷夕暮キャンプ場,都心からのアクセス良好！設備の充実したキャンプ場,〒369-1901 埼玉県秩父市大滝5714,埼玉,,0494-55-0522,,,,0,0
43,1,つちうちキャンプ場,都心からのアクセス良好！設備の充実したキャンプ場,〒369-1901 埼玉県秩父市大滝4011-1,埼玉,,0494-55-0137,,,,0,0
44,1,ウッディサイト・正丸キャンプ場,管理棟ログハウスは管理人の手作り。アウトドアの楽しみが工夫されたキャンプ場,〒368-0071 埼玉県秩父郡横瀬町芦ケ久保1493-1,埼玉,,0494-75-0734,,,,0,0
45,1,秩父オートキャンプ場,都心からのアクセス良好！設備の充実したキャンプ場,〒368-0005 埼玉県秩父市大野原2130,埼玉,,0494-22-1349,,,,0,0
46,1,王冠キャンプ倶楽部,都心からのアクセス良好！設備の充実したキャンプ場,〒369-1903 埼玉県秩父市中津川489,埼玉,,0494-53-3111,,,,0,0
47,1,あしがくぼキャンプ場,グランピングやキャビン、BBQ、キャンプ場、カフェを併設した複合レジャー施設,〒368-0071 埼玉県秩父郡横瀬町芦ケ久保1950,埼玉,,080-1181-1087,,,,0,0
48,1,PICA 秩父,都心からのアクセス良好！設備の充実したキャンプ場,〒368-0053 埼玉県秩父市久那637-2,埼玉,,0555-30-4580,,,,0,0
49,1,【休業中】JURA-GLAMPING,インテリアブランドが手掛けた、珍しいカタチの3棟があるグランピング 施設,〒369-1312 埼玉県秩父郡長瀞町大字井戸559-1,埼玉,,090-9808-8075,,,,0,0
50,1,古民家ファミリービレッジ キャンプ/バーベキュー場,場内には清流名栗川が流れ、キャンプインストラクター6名が在籍しているキャンプ場,〒357-0111 埼玉県飯能市上名栗87,埼玉,,042-978-5455,,,,0,0
51,1,バーベキュースポット さつき,夏は日帰り専門のバーベキュー場、冬は星空観察とサウナ体験もできるバーベキュー場,〒357-0112 埼玉県飯能市下名栗115,埼玉,,04-2979-0050,,,,0,0
52,1,NaguriBase,都心から2時間の好アクセス！広大な森林の中の複合リゾート施設,〒357-0000 埼玉県飯能市大字下名栗755-1,埼玉,,042-978-9800,,,,0,0
53,1,おくちちぶ両神キャンプ場,澄み切った川沿いの名勝地「丸神の滝」に近いキャンプ場,〒368-0202 埼玉県秩父郡小鹿野町両神小森4257,埼玉,,0494-79-0163,,,,0,0
54,1,グリーンビュー丸山オートキャンプ場,秩父連山・秩父市街地が一望できる、親子でおもいっきり楽しめるキャンプ場,〒368-0000 埼玉県秩父郡横瀬町高篠7154-29,埼玉,,0494-24-5002,,,,0,0
55,1,こまどり荘　キャンプ＆コテージ,奥秩父の山々に囲まれた、原生林約3000haの中にある宿泊施設,〒369-1903 埼玉県秩父市中津川447,埼玉,,080-9545-5621,,,,0,0
56,1,浦山口キャンプ場,森と川に囲まれた場内は、さまざまなキャンプスタイルに対応できるキャンプ場,〒368-0000 埼玉県秩父市 荒川上田野3-1,埼玉,,0494-23-8811,,,,0,0
57,1,浦山清流キャンプ場,埼玉県秩父市を流れる橋立川沿いに位置するキャンプ場,〒369-1801 埼玉県秩父市荒川久那3887,埼玉,,0494-24-1366,,,,0,0
58,1,奥長瀞キャンプ場,川遊びなどのアクティビティが豊富！荒川の隣にあるキャンプ場,〒368-0061 埼玉県秩父市小柱646,埼玉,,0494-62-1707,,,,0,0
59,1,浦山大日高原キャンプ場,都心からのアクセス良好！設備の充実したキャンプ場,〒369-1873 埼玉県秩父市浦山落合3265,埼玉,,,,,,0,0
60,1,埼玉県立小川げんきプラザ,金勝山の豊かな自然の中で体験活動ができ、自然と星との出会いに感動できるキャンプ場,〒355-0337 埼玉県比企郡小川町木呂子561,埼玉,,0493-72-2220,,,,0,0
61,1,大日高原キャンプ場,大日様の獅子舞行事も行われる浦山大日堂・昌安寺のすぐ脇にあるキャンプ場,〒369-1873 埼玉県秩父市浦山1516-1,埼玉,,0494-26-5826,,,,0,0
62,1,中津川村キャンプ場,川遊びや釣り、ブランコまで！一日中楽しめる秩父の山奥のキャンプ場,〒369-1903 埼玉県秩父市中津川243,埼玉,,0494-56-0021,,,,0,0
63,1,北本キャンプフィールド（旧：北本市野外活動センター）,バンガローやテントでの宿泊、バーベキューや自然散策などができるキャンプ場,〒364-0034 埼玉県北本市高尾9丁目143番地,埼玉,,048-593-0008,,,,0,0
64,1,白石観光農園村キャンプ場,夏場でも涼しい！秩父の大自然を感じられるキャンプ場,〒355-0377 埼玉県秩父郡東秩父村白石398,埼玉,,,,,,0,0
65,1,槌打キャンプ場,グランピングやキャビン、BBQ、キャンプ場、カフェを併設した複合レジャー施設,〒369-1901 埼玉県秩父市大滝4011-1,埼玉,,,,,,0,0
66,1,両神山麓キャンプ場,日本百名山「両神山」のふもとにある自然豊かなキャンプ場,〒368-0202 埼玉県秩父郡小鹿野町両神小森5432,埼玉,,0494-79-0155,,,,0,0
67,1,練馬区立秩父青少年キャンプ場,グランピングやキャビン、BBQ、キャンプ場、カフェを併設した複合レジャー施設,〒369-1873 埼玉県秩父市浦山304,埼玉,,,,,,0,0
